ProductType	ExternalId1	ExternalId2	ExternalId3	ExternalId4	ProductName	UnitPrice	TaxationPrice	SalesStatus	SalesStart	ReleaseDate	SetOnly	SalesPatternId	DeliveryPatternId
0	TEST003UBKXS				サンプル商品003 unisex ブラック XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UBKS				サンプル商品003 unisex ブラック S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UBKM				サンプル商品003 unisex ブラック M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UBKL				サンプル商品003 unisex  ブラック L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UBKXL				サンプル商品003 unisex  ブラック XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UWHXS				サンプル商品003 unisex  ホワイト XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UWHS				サンプル商品003 unisex  ホワイト S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UWHM				サンプル商品003 unisex  ホワイト M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UWHL				サンプル商品003 unisex  ホワイト L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UWHXL				サンプル商品003 unisex  ホワイト XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UFLXS				サンプル商品003 unisex  花柄 XS	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UFLS				サンプル商品003 unisex  花柄 S	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UFLM				サンプル商品003 unisex  花柄 M	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UFLL				サンプル商品003 unisex  花柄 L	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST003UFLXL				サンプル商品003 unisex  花柄 XL	1500	1500	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UBKXS				サンプル商品004 unisex ブラック XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UBKS				サンプル商品004 unisex ブラック S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UBKM				サンプル商品004 unisex ブラック M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UBKL				サンプル商品004 unisex  ブラック L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UBKXL				サンプル商品004 unisex  ブラック XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UWHXS				サンプル商品004 unisex  ホワイト XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UWHS				サンプル商品004 unisex  ホワイト S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UWHM				サンプル商品004 unisex  ホワイト M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UWHL				サンプル商品004 unisex  ホワイト L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UWHXL				サンプル商品004 unisex  ホワイト XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UFLXS				サンプル商品004 unisex  花柄 XS	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UFLS				サンプル商品004 unisex  花柄 S	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UFLM				サンプル商品004 unisex  花柄 M	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UFLL				サンプル商品004 unisex  花柄 L	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST004UFLXL				サンプル商品004 unisex  花柄 XL	1500	1500	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UBKXS				サンプル商品005 unisex ブラック XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UBKS				サンプル商品005 unisex ブラック S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UBKM				サンプル商品005 unisex ブラック M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UBKL				サンプル商品005 unisex  ブラック L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UBKXL				サンプル商品005 unisex  ブラック XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UWHXS				サンプル商品005 unisex  ホワイト XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UWHS				サンプル商品005 unisex  ホワイト S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UWHM				サンプル商品005 unisex  ホワイト M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UWHL				サンプル商品005 unisex  ホワイト L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UWHXL				サンプル商品005 unisex  ホワイト XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UFLXS				サンプル商品005 unisex  花柄 XS	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UFLS				サンプル商品005 unisex  花柄 S	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UFLM				サンプル商品005 unisex  花柄 M	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UFLL				サンプル商品005 unisex  花柄 L	1200	1200	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST005UFLXL				サンプル商品005 unisex  花柄 XL	1500	1500	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UBKXS				サンプル商品006 unisex ブラック XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UBKS				サンプル商品006 unisex ブラック S	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UBKM				サンプル商品006 unisex ブラック M	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UBKL				サンプル商品006 unisex  ブラック L	1000	1000	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UBKXL				サンプル商品006 unisex  ブラック XL	1100	1100	0	2020/1/1	2020/1/1	FALSE	1	2
0	TEST006UWHXS				サンプル商品006 unisex  ホワイト XS	900	900	0	2020/1/1	2020/1/1	FALSE	1	2
